出现时间(s),模式,字体大小,颜色,时间戳,弹幕池,用户ID,rowID,弹幕内容
1381.30500,1,25,16777215,1635001403,0,9f5401a3,1744258184211643904,10,是老板让你加班的吗 是学校让你补课的吗
784.23300,5,25,15138834,1628404623,0,2dddac17,1744247773504519680,10,吴签儿～
4656.95000,5,25,16707842,1662801121,0,cd100775,1744284427283906048,10,《嬉皮笑脸》
2311.26100,1,25,16777215,1595656760,0,748de6fd,1744196409302760960,10,黄四郎暗示张，他已经知道了，师爷这个时候就开始串通黄四郎了
4634.82700,5,25,16707842,1631340378,0,7ca47db4,1744254120308555264,10,《我们是项羽，您才是刘邦》
4383.79700,1,25,52480,1648568615,0,9897f75d,1744270795770740225,10,《  绿  尸  函  》
3693.57100,1,25,16777215,1639559766,0,f8052f1c,1744263077219581440,10,从一开始的“谁穷，谁就是穷人”，到了这里就变质了
3285.04400,5,25,16776960,1618146098,0,1fa011a3,1744233053603020288,10,赚钱的欲望还是压制住了怒气
1502.03100,5,25,9487136,1621573648,0,574cbb7a,1744237064590769665,10,低情商：小凤仙都不知道  高情商：谁是小凤仙
1571.99200,5,25,16707842,1660384137,0,ab52e2e5,1744281853919018496,10,百分之95是吃瓜群众，百分之4是黄狗的人，真正的老实人是小六
2937.66400,5,25,52480,1652348845,0,2639171b,1744273894732250624,10,《本事》
3224.72700,5,25,16646914,1644160189,0,a4f664df,1744267924962590208,10,全是技巧 没有感情
5727.61400,5,25,15138834,1630140925,0,49875a22,1744252391600995840,10,翻译：他什么都不是
7231.81700,5,25,16777215,1628320734,0,498dd6fc,1744247499851349504,10,自己不跪，敌人也不跪——都坐着就好
5668.43200,5,25,15138834,1630648337,0,ee2a35ca,1744253319800471040,10,《你妈》
3178.73300,5,25,16707842,1638591700,0,62a8184,1744262075359739392,10,让他觉得自己能活下来，让他觉得自己迟早能把张麻子给办了，最后。
1026.88500,5,25,16777215,1655272530,0,df3b09d8,1744275996892249600,10,唐山打卡
1780.35000,5,25,15138834,1639714174,0,98a86e36,1744263197067623936,10,他们不想看你吃了多少粉，他们只想看你开膛破肚
3850.41400,5,25,16707842,1622695617,0,8979beb7,1744238675731987968,10,你放屁，你就是想你的钻石
3928.44600,5,25,15138834,1648315527,0,f5fbf58a,1744270624290815489,10,即将上映大片《大哥你是知道我的》
7439.93000,5,25,16755202,1651039914,0,7fc2c35a,1744272777403219456,10,我去这里的眼神太真了啊啊啊啊
3020.52000,5,25,16765698,1618848126,0,d711a796,1744233924978064896,10,你脱衣服干嘛
1185.59600,5,25,16777215,1658306200,0,a74ff4a9,1744279463719386624,10,《why》
4377.67100,5,25,16707842,1644532731,0,99de2dde,1744268293021154816,10,《朱潜龙》
4901.56700,5,25,16707842,1644410544,0,dea84cb0,1744268147512360451,10,我不要你觉得，我要我觉得！
4810.45600,5,25,16777215,1640648529,0,60e50c85,1744264150508420609,10,《双重tm句》
4047.39800,5,25,65535,1630583632,0,b53e6e81,1744253248279199236,10,叫学姐！！
7169.91400,5,25,15138834,1628678119,0,61a7514e,1744248547336830464,10,这段暗指人民群众中有坏人
3449.91400,5,25,16777215,1649608759,0,af25d277,1744271698594676224,10,撕掉，撕掉!一定要撕掉~
1240.53900,5,25,52480,1637419898,0,aa406df8,1744260757752692224,10,我屁股是你的脸
960.46800,1,25,16777215,1598524828,0,3021c93f,1744211755296407040,10,有点细节啊，只有老六和老二站在阳光里。
2558.83100,1,25,16777215,1633340253,0,852df992,1744256715441880577,10,那你们俩算白见了
3267.77400,5,25,16707842,1639453942,0,e10a8c91,1744262979458743808,10,只有师爷受伤的世界
2903.81100,5,25,16707842,1660799167,0,c26bc003,1744282367889030656,10,哈哈哈哈哈♂♂♂♂♂
6117.27300,5,25,16740868,1628511767,0,1a5294b5,1744248101859802624,10,公屏爆脏（吹哨版）
7532.11400,1,25,16776960,1620987970,0,1a14210,1744236424430927360,10,老三撒谎了，老二之前说过自己是同性恋，怎么会喜欢花姐
5854.89000,5,25,15138834,1636178534,0,afccaa8a,1744259308461276672,10,“汤师爷，你这老骗子！”——刚见面竟直呼老骗子！（下期休刊）
4388.36900,1,25,38979,1630370214,0,50de47de,1744252937128951296,10,明白了，明示高质量男性跟死人没什么区别
5756.22300,5,25,15138834,1628429433,0,d442bcb0,1744247901372071424,10,死   亡   回    放
6677.14900,5,25,16646914,1644128493,0,170aef34,1744267873523645953,10,每个字我都认识，但是连一块儿我就不明白了（哈哈哈哈哈哈）
1555.58000,5,25,16776960,1654606799,0,f7f59f79,1744275371630575106,10,宁的好友:顶级倒钩狼（上线了）
6280.01600,5,25,16707842,1658572617,0,675d3704,1744279782209666560,10,不行，我死之前必须再恶心你一下
2130.54600,5,25,16777215,1630416357,0,cfa3c330,1744253038421392896,10,他在装傻，因为他知道，不会杀他，反而卖凉粉的表态就不一样，吓得哆嗦，很明显他就是被杀的
7207.40900,5,25,16777215,1629798243,0,f138fb7a,1744251645107158528,10,↓愚蠢的县长本人
3625.73700,5,25,16765698,1643212651,0,23c38fa2,1744266732018646528,10,然后卖玻璃的赚翻了
621.40300,5,25,16707842,1644418811,0,2104fc46,1744268170404871681,10,《挂 档》（确信）
4808.60500,5,25,16646914,1612272376,0,b02006f7,1744228126369562112,10,经典双TM句式
1376.41900,5,25,15138834,1643620580,0,591155ca,1744267244914916866,10,是学校让你写的吗
2138.28500,5,25,15138834,1648313317,0,f5fbf58a,1744270623217073666,10,这两个人都对日本介错很熟悉，说明他们都去过日本
3078.21400,5,25,15138834,1644108982,0,e468c1ff,1744267833031835136,10,贞子
4809.74500,5,25,14811775,1613872439,0,6158631b,1744229430848437760,10,双 重 T M 句
1010.75600,5,25,16646914,1648176703,0,481113a7,1744270486524706304,10,能挣，山里、跪着
